,Area Type,Area Name,Total_2016,Total_2036,Population Difference,Population Growth
304,2GMEL,Yarra Valley,16622,17632.0,1010.0,6.076284442305378
305,2GMEL,Beaconsfield - Officer,13612,49252.0,35640.0,261.82779900088156
306,2GMEL,Bunyip - Garfield,8928,18851.0,9923.0,111.14471326164875
307,2GMEL,Emerald - Cockatoo,18580,20784.0,2204.0,11.862217438105489
308,2GMEL,Koo Wee Rup,7666,13705.0,6039.0,78.7764153404644
309,2GMEL,Pakenham - North,19370,35071.0,15701.0,81.05833763551884
310,2GMEL,Pakenham - South,29580,40398.0,10818.0,36.572008113590265
311,2GMEL,Berwick - North,23824,26669.0,2845.0,11.941739422431162
312,2GMEL,Berwick - South,26874,39670.0,12796.0,47.61479496911513
313,2GMEL,Doveton,11867,15913.0,4046.0,34.094547905957704
314,2GMEL,Hallam,11335,14511.0,3176.0,28.019408910454345
315,2GMEL,Narre Warren North,8183,10225.0,2042.0,24.9541732860809
316,2GMEL,Endeavour Hills - North,12499,12961.0,462.0,3.6962957036562925
317,2GMEL,Endeavour Hills - South,14160,14187.0,27.0,0.19067796610169493
318,2GMEL,Narre Warren - North East,13967,15429.0,1462.0,10.467530607861388
319,2GMEL,Narre Warren - South West,14544,17596.0,3052.0,20.984598459845984
320,2GMEL,Cranbourne,20888,26262.0,5374.0,25.72769054002298
321,2GMEL,Cranbourne East,26754,118601.0,91847.0,343.301936159079
322,2GMEL,Cranbourne North,20985,33363.0,12378.0,58.98498927805576
323,2GMEL,Cranbourne South,9116,54603.0,45487.0,498.97981570864414
324,2GMEL,Cranbourne West,15685,29026.0,13341.0,85.05578578259484
325,2GMEL,Hampton Park - Lynbrook,26780,29542.0,2762.0,10.313666915608662
326,2GMEL,Lynbrook - Lyndhurst,16067,21346.0,5279.0,32.85616480985872
327,2GMEL,Pearcedale - Tooradin,8035,9206.0,1171.0,14.573739887990044
328,2GMEL,Narre Warren South (East),13713,14452.0,739.0,5.389046889812587
329,2GMEL,Narre Warren South (West),17513,18689.0,1176.0,6.7150117055901335
330,2GMEL,Clarinda - Oakleigh South,12323,13125.0,802.0,6.508155481619736
331,2GMEL,Clayton South,13296,20790.0,7494.0,56.36281588447653
332,2GMEL,Dandenong,32700,50674.0,17974.0,54.96636085626911
333,2GMEL,Dandenong North,23684,25999.0,2315.0,9.77453132916737
334,2GMEL,Dingley Village,10611,11492.0,881.0,8.302704740363774
335,2GMEL,Keysborough,27471,39749.0,12278.0,44.694405008918494
336,2GMEL,Noble Park North,7871,8659.0,788.0,10.011434379367298
337,2GMEL,Springvale,22761,33777.0,11016.0,48.39857651245551
338,2GMEL,Springvale South,13227,15483.0,2256.0,17.056021773644815
339,2GMEL,Noble Park - East,13073,18791.0,5718.0,43.73900405415742
340,2GMEL,Noble Park - West,19435,25427.0,5992.0,30.83097504502187
341,2GMEL,Ashwood - Chadstone,19308,26328.0,7020.0,36.357986326911124
342,2GMEL,Clayton,23672,37195.0,13523.0,57.126563028050015
343,2GMEL,Glen Waverley - East,22153,24531.0,2378.0,10.734437773664967
344,2GMEL,Glen Waverley - West,20151,27275.0,7124.0,35.353084214182914
345,2GMEL,Mount Waverley - North,16053,19049.0,2996.0,18.663178222139166
346,2GMEL,Mount Waverley - South,19291,24593.0,5302.0,27.484319112539524
347,2GMEL,Mulgrave,20462,24992.0,4530.0,22.138598377480207
348,2GMEL,Oakleigh - Huntingdale,22617,31423.0,8806.0,38.935314144227796
349,2GMEL,Wheelers Hill,20880,23150.0,2270.0,10.871647509578544
350,2GMEL,Ardeer - Albion,8202,10949.0,2747.0,33.49183126066813
351,2GMEL,Cairnlea,10206,12216.0,2010.0,19.69429747207525
352,2GMEL,Deer Park - Derrimut,27536,30748.0,3212.0,11.664729808251016
353,2GMEL,Delahey,8841,9378.0,537.0,6.073973532405836
354,2GMEL,Keilor Downs,13943,14457.0,514.0,3.6864376389586173
355,2GMEL,Kings Park (Vic.),14447,16046.0,1599.0,11.068041807987818
356,2GMEL,St Albans - North,21064,26664.0,5600.0,26.585643752373716
